"","trim.211r.gtf","trim.218r.gtf","trim.227r.gtf","trim.235r.gtf","trim.236r.gtf","trim.244r.gtf","trim.253r.gtf","trim.61r.gtf","trim.71r.gtf","trim.76r.gtf","trim.82r.gtf","trim.86r.gtf","gene"
"Peve_00017221",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,8.61322143347644,8.42642169706279,8.47289462706989,6.39101515774377,9.47440615839477,7.81330338850022,6.39101515774377,7.4058132054104,"Peve_00017221"
"Peve_00040818",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,7.33668953608854,7.6352478086407,6.6875037059742,7.1078466034934,8.57304596768714,7.56277845384509,6.39101515774377,6.83776366943989,"Peve_00040818"
"Peve_00009450",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,8.96061201375879,7.91519024194663,8.06610228398643,6.39101515774377,6.39101515774377,10.2687862175874,6.39101515774377,6.90619780091846,"Peve_00009450"
"Peve_00044775",6.67418229395816,6.39101515774377,6.39101515774377,6.39101515774377,9.14891522625147,8.09610256831348,10.5050345808072,10.8909448605424,7.48524308193747,8.79102559012913,6.39101515774377,9.86955270340017,"Peve_00044775"
"Peve_00031540",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,7.49263687250546,7.20108952451838,6.39101515774377,7.71641506084873,8.76785714546677,8.93178254327225,6.39101515774377,"Peve_00031540"
"Peve_00002516",8.95553912563235,8.55795785097048,8.4055312887997,8.02890742799994,10.7122653557871,9.55015102459023,9.71673204122373,10.0255511037348,10.1009689541146,9.9029317166763,8.96535035268316,9.86955270340017,"Peve_00002516"
"Peve_00020682",6.5494849357182,6.39101515774377,6.39101515774377,6.39101515774377,7.43749988898604,7.51792613742394,6.48055284483882,7.35041368975333,7.82835302783487,7.46771979662293,8.5399759959764,6.86172260987591,"Peve_00020682"
"Peve_00045313",6.744656478444,6.93520148093961,6.96201269114566,6.39101515774377,8.01432583125643,8.03630268600664,6.7902292446864,7.60399808508745,10.6563300184557,8.29481971872947,9.57264104039697,7.34261805953004,"Peve_00045313"
"Peve_00037314",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,8.15170080311259,6.39101515774377,9.87047287892053,9.29051713800244,9.45944823792861,8.23980196457157,6.39101515774377,8.84514784526711,"Peve_00037314"
"Peve_00014920",11.9317142529392,11.9834982118687,12.1880109673343,12.5291798340049,13.1971409018881,12.4493913395178,13.4227758163926,13.4655894821501,13.790418462908,13.714781538901,13.4694700739846,13.7496593186278,"Peve_00014920"
"Peve_00018339",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,7.69537169307243,9.38399637473417,8.52911214854475,7.76141458654159,7.89988163434095,7.02033886915124,"Peve_00018339"
"Peve_00001859",6.59140499205423,6.39101515774377,6.75355275117171,6.39101515774377,7.67716478040248,7.6352478086407,7.09481294853973,6.89396285261563,8.06705513876445,7.91024779062678,8.28907400139705,6.83776366943989,"Peve_00001859"
"Peve_00043511",10.4101870059636,9.55538678758628,8.17787267363595,10.7705421169951,12.027629503894,11.7830494592456,12.4328587621031,12.2845175641248,12.4796408471261,11.9258117243044,13.4262258323516,12.9416192671401,"Peve_00043511"
"Peve_00041288",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,7.48690549648191,6.39101515774377,6.71322958503656,7.33727526476507,8.10943204473113,7.22108321528451,8.34336781247537,6.39101515774377,"Peve_00041288"
"Peve_00022840",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,7.40518184231221,8.38094059223326,6.71322958503656,7.72930424369556,8.57304596768714,8.10619275966224,10.0109959701162,7.48356441018925,"Peve_00022840"
"Peve_00029853",9.83872501564733,10.0228570766244,9.23171693134071,9.71941482575876,10.4336910226116,10.6496898798718,10.7321435545297,10.8089790945853,11.0031533136067,11.1526757329032,10.4987197328188,11.3762939046235,"Peve_00029853"
"Peve_00023127",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,10.6218927128199,10.2622044212113,10.2130713596421,10.5059857202965,9.76871301062676,11.9690465041342,6.39101515774377,6.39101515774377,"Peve_00023127"
"Peve_00023121",6.39101515774377,6.39101515774377,6.39101515774377,6.39101515774377,8.63335918725116,6.39101515774377,8.38066138190931,7.68466095788754,8.31927854501496,9.21735347477602,6.39101515774377,6.39101515774377,"Peve_00023121"
